Designator,Mid X,Mid Y,Rotation,Layer
+12V_2,100.33,-139.7,0.0,top
+12V,108.5,-110.0,0.0,top
400V,133.75,-91.75,270.0,top
C1,75.4,-128.6,270.0,bottom
C10,128.9,-137.3,90.0,bottom
C11,140.5,-86.75,270.0,top
C14,92.7,-135.0,180.0,top
C15,92.8,-124.4,270.0,top
C20,124.9,-147.4,180.0,bottom
C21,124.9,-142.4,0.0,bottom
C25,184.0,-121.8,180.0,top
C26,82.2,-135.035,270.0,top
C28,185.4625,-129.0,180.0,bottom
C31,163.465,-160.655,0.0,top
C32,151.5,-139.2,90.0,bottom
C33,141.25,-100.0,270.0,top
C34,133.75,-99.5,270.0,top
C35,123.25,-98.75,270.0,top
C36,168.5,-88.5,0.0,bottom
C39,163.48,-100.58,90.0,bottom
C4,112.6,-154.4,180.0,bottom
C40,177.575,-88.9,0.0,bottom
C41,168.8,-100.08,180.0,bottom
C42,177.2,-106.7,90.0,bottom
C43,174.2,-106.6,90.0,top
C44,168.95,-103.57,90.0,bottom
C45,166.4,-102.62,180.0,bottom
C46,167.13,-91.0,180.0,bottom
C47,184.0,-116.0,180.0,top
C48,187.8,-106.7375,270.0,bottom
C49,149.0,-138.42,90.0,bottom
C5,124.6,-151.0,180.0,bottom
C50,136.64,-135.42,270.0,bottom
C51,180.6,-138.8,180.0,top
C7,138.1625,-148.6025,90.0,bottom
C8,125.4,-154.8,180.0,bottom
CY1,125.8,-86.85,90.0,top
CY2,148.75,-57.5,0.0,top
CY9,105.9,-73.55,90.0,top
D1,141.0,-68.92,270.0,top
D11,188.6,-132.0,180.0,bottom
D12,143.5,-144.5,270.0,bottom
D14,140.5,-138.5,180.0,bottom
D15,178.8,-134.2,0.0,bottom
D17,91.33,-113.54,90.0,top
D18,91.33,-158.555,90.0,top
D19,78.0,-130.2,270.0,bottom
D2,145.94,-131.2,0.0,bottom
D22,147.65,-91.38,90.0,top
D23,173.0,-59.0,0.0,top
D24,183.05,-102.2,180.0,bottom
D28,91.33,-103.0,90.0,top
D29,91.33,-147.955,90.0,top
D3,166.5,-129.5,90.0,bottom
D4,85.7,-138.92,270.0,bottom
D9,108.8,-155.8,90.0,bottom
F1,80.55,-78.3,0.0,top
GD1,126.95,-73.65,0.0,bottom
HVG,175.75,-131.25,270.0,top
J1,66.2,-73.2,270.0,top
J2,67.2,-129.535,270.0,top
L,146.95,-71.5,0.0,top
L1,124.15,-69.9,90.0,top
L2,82.4,-125.2,270.0,top
L3,172.000002,-80.899995,90.0,top
LVG,162.56,-131.445,0.0,top
N,146.95,-66.3,0.0,top
OPTO+,166.0,-155.2,180.0,top
Q1,182.6,-128.47,270.0,top
Q10,88.9,-138.62,0.0,bottom
Q5,193.04,-96.2,180.0,bottom
Q6,164.0825,-118.16,90.0,bottom
Q7,146.22,-118.66,90.0,bottom
R1,118.35,-146.6,180.0,bottom
R10,124.8,-149.2,180.0,bottom
R11,169.9375,-114.7,180.0,bottom
R12,104.6,-76.0,90.0,bottom
R13,178.75,-84.92,90.0,bottom
R14,175.44,-84.92,90.0,bottom
R15,172.13,-84.92,90.0,bottom
R16,128.4,-153.2,90.0,bottom
R17,133.6625,-153.82,90.0,bottom
R18,136.4,-156.4,270.0,bottom
R19,168.82,-84.92,90.0,bottom
R2,178.6,-119.4,90.0,top
R20,115.2,-149.0,180.0,bottom
R21,172.65,-88.7,180.0,bottom
R22,110.2,-149.0,0.0,bottom
R23,105.65,-162.0,180.0,bottom
R24,147.5,-141.5,0.0,bottom
R25,89.4,-142.47,180.0,bottom
R3,97.6,-75.35,270.0,top
R30,171.4,-124.8,90.0,bottom
R31,169.0,-124.8,90.0,bottom
R32,148.47,-127.58,90.0,bottom
R33,144.87,-126.28,180.0,bottom
R34,132.6,-158.4,0.0,bottom
R35,127.0,-136.5,90.0,bottom
R36,180.5,-94.5,180.0,bottom
R37,132.3,-136.2375,270.0,bottom
R38,179.4,-130.0,270.0,bottom
R39,185.0,-125.55,270.0,bottom
R4,107.0,-71.3625,90.0,bottom
R40,138.8,-134.85,270.0,bottom
R41,112.8,-156.4,180.0,bottom
R42,116.4,-159.4,270.0,bottom
R5,137.4625,-152.47,0.0,bottom
R53,110.85,-162.0,0.0,bottom
R6,118.35,-144.29,180.0,bottom
R63,182.9,-99.5925,180.0,bottom
R67,161.5,-100.45,90.0,bottom
R68,161.48,-105.38,270.0,bottom
R69,158.5,-105.5,90.0,bottom
R7,107.0,-76.0,90.0,bottom
R70,172.65,-91.1,0.0,bottom
R71,177.55,-91.1,0.0,bottom
R72,181.6,-111.0,180.0,top
R73,171.39,-111.125,90.0,bottom
R74,171.4,-106.5625,90.0,bottom
R75,166.0,-108.6,270.0,bottom
R76,168.2,-108.0,270.0,bottom
R77,165.6,-104.8,0.0,bottom
R78,160.5,-93.0,180.0,bottom
R79,163.5,-95.5,180.0,bottom
R8,104.6,-71.3625,90.0,bottom
R80,166.5,-93.0,180.0,bottom
R81,168.0,-97.1,270.0,bottom
R82,165.4,-99.1,270.0,bottom
R83,181.4,-96.9,0.0,bottom
RV1,81.75,-68.266665,0.0,top
T2,134.0125,-138.0,270.0,top
TH1,91.55,-78.2,180.0,top
TP12,106.6,-142.0,270.0,bottom
TP13,104.0,-132.0,0.0,top
TP3,194.95,-71.0,0.0,top
TP4,195.0,-85.0,0.0,top
TP8,190.0,-116.0,0.0,top
U1,117.6625,-152.85,0.0,bottom
U2,174.0,-99.5,90.0,bottom
U4,123.8,-159.4,180.0,bottom
U5,131.9,-145.4375,180.0,bottom
VAUX,186.2,-138.6,90.0,top
VCC_2,173.8,-119.2,180.0,top
VCC,181.8,-105.6,0.0,top
